id,title,content,brief,target,type
50121,Gaoguanhoulu,"    Shang and Zhou war armies caught in a stalemate, the two sides who must external aid, in order to attract more investment to the princes, the princes are committed to the world, those who help one's own daily press office issued an official's salary, are provided for the military.","    Guests receive official [too] of salary. You can receive once a day. The higher the office, the more salary can get.
",Too disabilities,7
50122,Gaoguanhoulu,"    Shang and Zhou war armies caught in a stalemate, the two sides who must external aid, in order to attract more investment to the princes, the princes are committed to the world, those who help one's own daily press office issued an official's salary, are provided for the military.","    Receive official salary] of [Tai Zhu. You can receive once a day. The higher the office, the more salary can get.
",Tai Zhu,7
50123,Gaoguanhoulu,"    Shang and Zhou war armies caught in a stalemate, the two sides who must external aid, in order to attract more investment to the princes, the princes are committed to the world, those who help one's own daily press office issued an official's salary, are provided for the military.","    Taishi receive official salary [of]. You can receive once a day. The higher the office, the more salary can get.
",Taishi,7
50124,Gaoguanhoulu,"    Shang and Zhou war armies caught in a stalemate, the two sides who must external aid, in order to attract more investment to the princes, the princes are committed to the world, those who help one's own daily press office issued an official's salary, are provided for the military.","    [Office] Taizong receive the salary. You can receive once a day. The higher the office, the more salary can get.
",Taizong,7
50125,Gaoguanhoulu,"    Shang and Zhou war armies caught in a stalemate, the two sides who must external aid, in order to attract more investment to the princes, the princes are committed to the world, those who help one's own daily press office issued an official's salary, are provided for the military.","    Receive official salary] of [Dasai. You can receive once a day. The higher the office, the more salary can get.
",Dasai,7
50126,Gaoguanhoulu,"    Shang and Zhou war armies caught in a stalemate, the two sides who must external aid, in order to attract more investment to the princes, the princes are committed to the world, those who help one's own daily press office issued an official's salary, are provided for the military.","    Receive official salary of [CPIC]. You can receive once a day. The higher the office, the more salary can get.
",CPIC,7
50127,Gaoguanhoulu,"    Shang and Zhou war armies caught in a stalemate, the two sides who must external aid, in order to attract more investment to the princes, the princes are committed to the world, those who help one's own daily press office issued an official's salary, are provided for the military.","    Receive official salary of [Tutor]. You can receive once a day. The higher the office, the more salary can get.
",Tutor,7
50128,Gaoguanhoulu,"    Shang and Zhou war armies caught in a stalemate, the two sides who must external aid, in order to attract more investment to the princes, the princes are committed to the world, those who help one's own daily press office issued an official's salary, are provided for the military.","    Taishi receive official salary [of]. You can receive once a day. The higher the office, the more salary can get.
",Taishi,7
50211,Iron meteorite fragments,"    According to Wen Jiutianzhiwai meteorites falling throughout the world, accounting for Fearless made by the court in this matter contains a mysterious power but the effect is not yet known, so they asked the court dysfunction tribute to this treasure, and to give tribute princes jewelry rewards.","    Attack the wild in order to obtain [] meteor meteorite fragments, turned over to the court to obtain raised him. [] Meteor meteorite fragments are relatively common in the wild at all levels.",Tribute siderite,7
50212,Iron meteorite fragments,"    According to Wen Jiutianzhiwai meteorites falling throughout the world, accounting for Fearless made by the court in this matter contains a mysterious power but the effect is not yet known, so they asked the court dysfunction tribute to this treasure, and to give tribute princes jewelry rewards.","    Attack the wild in order to obtain [] meteor meteorite fragments, turned over to the court to obtain raised him. [] Meteor meteorite fragments are relatively common in the wild at all levels.",Tribute siderite,7
50213,Iron meteorite fragments,"    According to Wen Jiutianzhiwai meteorites falling throughout the world, accounting for Fearless made by the court in this matter contains a mysterious power but the effect is not yet known, so they asked the court dysfunction tribute to this treasure, and to give tribute princes jewelry rewards.","    Attack the wild in order to obtain [] meteor meteorite fragments, turned over to the court to obtain raised him. [] Meteor meteorite fragments are relatively common in the wild at all levels.",Tribute siderite,7
50214,Small iron meteorite,"    According to Wen Jiutianzhiwai meteorites falling throughout the world, accounting for Fearless made by the court in this matter contains a mysterious power but the effect is not yet known, so they asked the court dysfunction tribute to this treasure, and to give tribute princes jewelry rewards.","    Attack the wild in order to obtain [small] meteor fall from the sky, turned over to the court to obtain raised him. [Small] meteor crater often now to the above three wild.",Tribute siderite,7
50215,Small iron meteorite,"    According to Wen Jiutianzhiwai meteorites falling throughout the world, accounting for Fearless made by the court in this matter contains a mysterious power but the effect is not yet known, so they asked the court dysfunction tribute to this treasure, and to give tribute princes jewelry rewards.","    Attack the wild in order to obtain [small] meteor fall from the sky, turned over to the court to obtain raised him. [Small] meteor crater often now to the above three wild.",Tribute siderite,7
50216,Small iron meteorite,"    According to Wen Jiutianzhiwai meteorites falling throughout the world, accounting for Fearless made by the court in this matter contains a mysterious power but the effect is not yet known, so they asked the court dysfunction tribute to this treasure, and to give tribute princes jewelry rewards.","    Attack the wild in order to obtain [small] meteor fall from the sky, turned over to the court to obtain raised him. [Small] meteor crater often now to the above three wild.",Tribute siderite,7
50217,Chunks of siderite,"    According to Wen Jiutianzhiwai meteorites falling throughout the world, accounting for Fearless made by the court in this matter contains a mysterious power but the effect is not yet known, so they asked the court dysfunction tribute to this treasure, and to give tribute princes jewelry rewards.","    Attack the wild to get [meteorite chunks of the meteor], turned over to the court to obtain raised him. [Chunk] meteor crater often now to the above six wild.",Tribute siderite,7
50218,Chunks of siderite,"    According to Wen Jiutianzhiwai meteorites falling throughout the world, accounting for Fearless made by the court in this matter contains a mysterious power but the effect is not yet known, so they asked the court dysfunction tribute to this treasure, and to give tribute princes jewelry rewards.","    Attack the wild to get [meteorite chunks of the meteor], turned over to the court to obtain raised him. [Chunk] meteor crater often now to the above six wild.",Tribute siderite,7
50219,Chunks of siderite,"    According to Wen Jiutianzhiwai meteorites falling throughout the world, accounting for Fearless made by the court in this matter contains a mysterious power but the effect is not yet known, so they asked the court dysfunction tribute to this treasure, and to give tribute princes jewelry rewards.","    Attack the wild to get [meteorite chunks of the meteor], turned over to the court to obtain raised him. [Chunk] meteor crater often now to the above six wild.",Tribute siderite,7
50220,Tribute siderite,"    According to Wen Jiutianzhiwai meteorites falling throughout the world, accounting for Fearless made by the court in this matter contains a mysterious power but the effect is not yet known, so they asked the court dysfunction tribute to this treasure, and to give tribute princes jewelry rewards.",    Attack the wild to get meteor meteorite and turned over to the court to obtain raised him.,Tribute siderite,7
90001,Official seal into the Jazz,"    You finally have their own fief of! I'm so happy for the achievements you made; although I believe your strength, but did not come carrying a reward of imperial past, let me first take you to familiarize yourself with it new territory management.","    Welcome to the world of Invincible Gods, this mission series will gradually lead you into the game, feel his charm, but ultimately there is a mysterious gift both hands, do not miss it! It is strongly recommended novices or task to follow the process.",#VALUE!,0
90002,Open Gift,"    Palace is where you deal with government, where you can learn the status of all territories and the release of various orders. Magic is ably assisted by the hegemony rule the roost in the game, can not be ignored.","    In the top right, select the main interface [package], after opening the package interface to select [chest], find the [gift] novice left-click and select Open.",Modify the city name,0
90003,Flags fluttering,"    As a main monarch has the ambition, the side with matching banner is very necessary. Banner revised the wind drift over the land of China all belong to your city city wall.","    Click on the map in the upper right [lord] option in the pop-up interface, click [Properties] option in the browse property information, click on the banner behind the [Change] option, enter a new banner.",Modify the banner of the city wall,0
90004,Qianlichuanyin,"    It is time for the dysfunction of the entire land of China knows you exist, I hope in the near future to make your name in heaven deities did not dare to be overlooked.","    Click [World] option in the lower left corner of the chat interface, and chat channel in the world. Chat channel in the world, need to consume every word [1] Qianlichuanyin, chat in other channels are free.",Use [] to speak Qianlichuanyin channel in the world,0
90005,Lead the people to build housing,"    The construction of houses to attract refugees to come to settle in, let you have more labor can get more taxes.","    Click on the map above the middle of the city [city] option to enter the main interface; click [space], in the pop-up interface in the selected city building houses after the [] [construction] option that is the start of construction.",[1] a residential,0
71063,Wisdom Challenge 1,"    Heaven will be April Fool's task props ""stupid"", ""people"", ""Festival"", ""fast"", ""music"" are placed in different wilderness and mountains, while the world on April Fool preparation of a question as to imply that each prop there are chances of a place in the fall, crack the mystery, and go to the right places to collect props to exchange rich rewards!
According to ""Task Guide"" in the description, I believe that smart you will be able to determine the location of each prop is located.","""Ignorance"", he said: ""people"" are not two layers mountains, ""Day"" in nine wild;
""People"": ""Festival"" in two layers mountains, ""fast"" in five layers mountains;
""Festival"", said: ""fast"" is not five layers mountains, ""music"" in the three wild;
""Fast"", said: ""stupid"" in 8 layers mountains, ""music"" is not in 8 layers mountains;
""Pleasure"": ""stupid"" in three wilderness, ""person"" in nine wild.
Only two people the truth, and the remaining three say the lies, guess the result as soon as possible to find the right destination!",stupid,6
90006,Wasteland Konda,"    As food is the most basic livelihood resources, so we have to solve the food and clothing problem wasteland Mita people.","    Click on the map above the middle of the [outside] option outside the city into the main interface, highlight the area that is [space]; click on a [space], in the pop-up interface in the building outside the city to select [farmland] and click the [construction] option That is the start of construction.",[2] a farmland,0
90007,Logging construction,"    City building foundation requires a lot of wood, and forest farms are currently the only way you get wood.","    Click on the map above the middle of the [outside] option outside the city into the main interface, highlight the area that is outside the [space]; click on an open space outside the city [], in the pop-up interface in the building outside the city tree farm to select [] and click [options] construction began construction, the lower right corner of the main screen can choose to view the building and Cultivation of the remaining time.",[3] a tree farm,0
90008,Levee Construction,    City defense facilities need a lot of stones to reinforce the manpower to quickly organize this important resource the exploitation of it!,"    [Outside the city] to enter the main screen and select an open space outside the city [], select [quarry] building in the new pop-up interface and click on [construction].","[4] a quarry
",0
90051,Full-scale reconstruction is under way,"    Staff to go outside the organization to arrange casting copper mining expansion armory of weapons ready to recruit it, retreat and protect the city guard house, move forward and conquer new territories.","    [Outside the city] to enter the main screen and select an open space outside the city [], select [copper mine] building in the new pop-up interface and click on [construction].","[5] a copper mine
",0
90009,Settled settle down,"    You thriving city attracted a lot of people to go over to your arm, in order to better accommodate them, the expansion of your residence is necessary.","    [City] into the main interface, select just the construction of houses [], in the pop-up interface in the new interface in the Click [upgrade].",[6] houses two,0
90010,Diligent government,"    Magnificent palaces not only to qualify the city has built more buildings, but also to expand the size of the city to open up more space outside resources.","    [City] into the main interface, select [Palace] building, click on the pop-up in the new interface in the palace [upgrade].",Use props open 7 days [note] let [the palace] raised to two,0
71037,God of heaven,"Since ancient times, the God of Wealth civil and military points, Zhaogong is the general sent by God under the supervision of mortal Erotic kid, black-faced thick beard, riding a black tiger, armed with a Yinbian, a hand-held gold, full uniform, called the God of wealth.","""Gold ingot"", ""amethyst"", ""Night Pearl"" is the God of Wealth is lost in the mountains blessed, those who have the opportunity to explore the depths of the mountains can be found paradise, ""Amethyst"" and ""Night Pearl"" can also be purchased at the mall get; ""agate"" can only be purchased in the mall.","Gold ingot
Agate stone
Amethyst
Night Pearl",2
90011,Please God Ampang,"    Sendai lead will attract the gods reside, if you will, easily invite them to assist you.","    In the main interface [city] select a city [space], select [Sendai] lead and then click [building] construction of the new pop-up interface in.",[8] a lead Sendai,0
90012,Zhugecangxian,"    San Xian are always coming and going, of no fixed abode, if you want to recruit, but also to build a gorgeous fairy 'to worship them.","    [Interface] to enter the city, select a city [space], select the new pop-up interface in the fairy [building] and then click [construction].",9 recruit a San Xian,0
90013,Appointment of Kimori,"    Kimori, but a very important position, he not only guide people how to produce work, but also in the city when the attack was organized garrison city defense.","    [City] into the main interface, select [building] the fairy, click on a fairy in [idle] state, then click [appointed prefect].",11 appointed Kimori,0
90014,Guards veterans,"    Territory of security is a prerequisite for sustainable development, the need to ensure a strong force, and soldiers on the field is a necessary precondition for the establishment of the barracks.","    [] The main interface to enter the city, select a city [space], select [soldiers] field and click [building] construction of the new pop-up interface in.",[12] a field Soldiers,0
90015,Build-operate-recruiting,"    Treasuries filling, circulation of materials, rich people caused a coveted fieldwork Langhu army, it is time to set up their own powerful army.","    [] The main interface to enter the city, select a city [space], select the pop-up interface in the new building in [barracks] and click the [construction].",[13] a barracks,0
90016,Against an enemy outside the city,    Results to be published requires the court to destroy the military power of dysfunction self Zeikou; Hercules soldiers recruited some of the court with sufficient reinforcements of troops against those of the thief.,"    Select the barracks [barracks] and select [Hercules soldiers], click [recruit], recruit the number of columns in a new pop-up window to fill in the value of 1, click OK to start recruiting soldiers [Hercules].",14 soldiers recruited [Hercules],0
90017,Warehouse honest,"    Logistics will always be the foundation of all of this foundation, more than the organization of training recruits remaining strong people to be outside the city to expand the production of building it.","    [Outside the city] to enter the main interface, select just built [farmland], in the pop-up interface in the new interface in the Click [upgrade]. Then select [Woodland], [quarry], [copper mine] and click [upgrade] to make four basic resources rose two buildings.","[Farmland] two
Woodland [two]
[Quarry] two
[Two] Copper Mine",0
90018,Ordered leader,"    Soldiers come quickly to find time in the field marshalling soldiers for thieves encirclement it, do not forget to carefully sweep the battlefield, you may have an unexpected surprise Oh!","    Select [Soldiers Field] building, select Troops field interface in [with soldiers], a new pop-up screen inside select [with soldiers] option, and then select [with soldiers] gods, selected to the gods want in the drop-down menu with arms, and then enter the number of the input box on the right to be allocated, and finally click [save].",15 soldiers with the implementation of [Directive],0
90019,Expedition leader,"    Wilderness is a big map above lake (grain addition), forests (wood bonus), mountain (stone bonus), hills (copper addition) peacefully (may fortification) collectively.","    Click on the map above the middle [map] into the big map interface, the mouse is placed on the outside [] to view the selected wild wilderness data, there is no choice [0] wild monarch occupation click [plunder] option to enter [the expedition] interface, select [soldiers] with the completion of the gods, click on the bottom right of the [off]. Note: Make sure to set off wild level and the number of soldiers, the soldiers set off an error may lead to completely destroyed.",20 0 predatory wild,0
90020,First Look Xianshu,"    Road Act Xian Shu magic can not only help soldiers on the battlefield, but also give you in San Xian city building and strengthening aspects of great help.","    [] The main interface to enter the city, select a city [space], select the new pop-up interface in the [hospital] building Cultivation and click [construction].",[16] a hospital Cultivation,0
90021,God surgery training,"    Cultivation has completed the construction of the hospital, it choose to practice surgery training, his role is to increase the speed of the training of soldiers, soldiers quickly replenish lost city.","    [City] into the main interface, select [] Cultivation hospital building in the new pop-up interface in the hospital Cultivation Click [soldiers] to select strong soldiers like fairy, then find and click the [training] surgery [practice].",[17] a training technique,0
90022,Protectors,"    Walls can be provided to the soldiers guarding the city strong protection force, training soldiers while organizing people strong fortified walls, with the fastest speed of the city to enhance self-protection capability.","    [City] into the main interface, click on the upper right corner of the walls [building], select the [upgrade] in a new pop-up interface in the walls.","[18] a city wall
",0
90023,Soothe the people,"    Appropriate to give them some reward will make them more support your reign. If the people of the city you are dissatisfied, but will desert you, oh!","    Enter [the city] main interface, select [Palace] building open palace interface, select [capital information] browse capital data, click on [the people] behind [appease] option data, select [relief] option in the new pop-up interface inside and click OK. After each appease the people, need to wait 15 minutes to operate again.",[19] Disaster Relief,0
90024,Raised him coming to a decision,"    Try to play a city famous name. Hope one day you can see renowned the world over, voice-activated Miracle!","    Click interface in the middle of [the palace] buildings to open the palace interface, select [capital information] browse capital information, click the capital after the name of [renamed] option, and in the pop-up new interface [new name], enter a new city name and press OK. He completed the task you will be officially entered the world of Gods, growing series of tasks will be officially displayed in front of you.",[Reputation] 800,1
51232,Fuxi outside Gua,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi outside to get drawings [organ]",Authorities illustration,6
51332,Fuxi outside Gua,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi outside to get drawings [organ]",Authorities illustration,6
51432,Fuxi outside Gua,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi outside to get drawings [organ]",Authorities illustration,6
51532,Fuxi outside Gua,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi outside to get drawings [organ]",Authorities illustration,6
51632,Fuxi outside Gua,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi outside to get drawings [organ]",Authorities illustration,6
51732,Fuxi outside Gua,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi outside to get drawings [organ]",Authorities illustration,6
51832,Fuxi outside Gua,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi outside to get drawings [organ]",Authorities illustration,6
51932,Fuxi outside Gua,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi outside to get drawings [organ]",Authorities illustration,6
52032,Fuxi outside Gua,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi outside to get drawings [organ]",Authorities illustration,6
51025,Yin led troops raised,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, officers have gathered enough troops, but since senior Bingjia but far from sufficient to equip all the generals, princes in the world so posting will collect school Bingjia.","    During the mission is on, players can use a [box] siderite equipment exchange a [primary] box heaven.",Siderite equipment boxes,6
51018,Yin led troops raised,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, officers have gathered enough troops, but since senior Bingjia but far from sufficient to equip all the generals, princes in the world so posting will collect school Bingjia.","    During the mission is on, players can use a [box] siderite equipment exchange a [primary] box heaven.",Siderite equipment boxes,6
51017,Extension army attack razed,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, enough troops, Bingjia but hardly enough to equip all soldiers, so posting an extraordinary collection in the world princes Bingjia to equip ordinary soldiers.","    During the mission is on, players can use a [bronze] exchange equipment boxes equipped with a [ordinary] box.",Bronze equipment boxes,6
51019,Yin led troops raised,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, officers have gathered enough troops, but since senior Bingjia but far from sufficient to equip all the generals, princes in the world so posting will collect school Bingjia.","    During the mission is on, players can use a [box] siderite equipment exchange a [primary] box heaven.",Siderite equipment boxes,6
51020,Yin led troops raised,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, officers have gathered enough troops, but since senior Bingjia but far from sufficient to equip all the generals, princes in the world so posting will collect school Bingjia.","    During the mission is on, players can use a [box] siderite equipment exchange a [primary] box heaven.",Siderite equipment boxes,6
51021,Yin led troops raised,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, officers have gathered enough troops, but since senior Bingjia but far from sufficient to equip all the generals, princes in the world so posting will collect school Bingjia.","    During the mission is on, players can use a [box] siderite equipment exchange a [primary] box heaven.",Siderite equipment boxes,6
51009,Extension army attack razed,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, enough troops, Bingjia but hardly enough to equip all soldiers, so posting an extraordinary collection in the world princes Bingjia to equip ordinary soldiers.","    During the mission is on, players can use a [bronze] exchange equipment boxes equipped with a [ordinary] box.",Bronze equipment boxes,6
51022,Yin led troops raised,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, officers have gathered enough troops, but since senior Bingjia but far from sufficient to equip all the generals, princes in the world so posting will collect school Bingjia.","    During the mission is on, players can use a [box] siderite equipment exchange a [primary] box heaven.",Siderite equipment boxes,6
51233,Fuxi in the hexagram,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.",Plunder the wild have a chance to get outside the city residue Fuxi hexagram Fuxi in the hexagram contribution you can get [organs] treasures,Authorities treasures,6
51333,Fuxi in the hexagram,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.",Plunder the wild have a chance to get outside the city residue Fuxi hexagram Fuxi in the hexagram contribution you can get [organs] treasures,Authorities treasures,6
51433,Fuxi in the hexagram,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.",Plunder the wild have a chance to get outside the city residue Fuxi hexagram Fuxi in the hexagram contribution you can get [organs] treasures,Authorities treasures,6
51533,Fuxi in the hexagram,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.",Plunder the wild have a chance to get outside the city residue Fuxi hexagram Fuxi in the hexagram contribution you can get [organs] treasures,Authorities treasures,6
51633,Fuxi in the hexagram,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.",Plunder the wild have a chance to get outside the city residue Fuxi hexagram Fuxi in the hexagram contribution you can get [organs] treasures,Authorities treasures,6
51733,Fuxi in the hexagram,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.",Plunder the wild have a chance to get outside the city residue Fuxi hexagram Fuxi in the hexagram contribution you can get [organs] treasures,Authorities treasures,6
51833,Fuxi in the hexagram,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.",Plunder the wild have a chance to get outside the city residue Fuxi hexagram Fuxi in the hexagram contribution you can get [organs] treasures,Authorities treasures,6
51933,Fuxi in the hexagram,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.",Plunder the wild have a chance to get outside the city residue Fuxi hexagram Fuxi in the hexagram contribution you can get [organs] treasures,Authorities treasures,6
52033,Fuxi in the hexagram,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.",Plunder the wild have a chance to get outside the city residue Fuxi hexagram Fuxi in the hexagram contribution you can get [organs] treasures,Authorities treasures,6
51234,Gossip,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. Where Heaven ordered the whole set Fuxi congenital gossip are available to both heaven magic one.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi residue can be obtained [heaven] Royal Box.",Heaven Royal Box,6
51334,Gossip,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. Where Heaven ordered the whole set Fuxi congenital gossip are available to both heaven magic one.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi residue can be obtained [heaven] Royal Box.",Heaven Royal Box,6
51434,Gossip,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. Where Heaven ordered the whole set Fuxi congenital gossip are available to both heaven magic one.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi residue can be obtained [heaven] Royal Box.",Heaven Royal Box,6
51534,Gossip,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. Where Heaven ordered the whole set Fuxi congenital gossip are available to both heaven magic one.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi residue can be obtained [heaven] Royal Box.",Heaven Royal Box,6
51634,Gossip,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. Where Heaven ordered the whole set Fuxi congenital gossip are available to both heaven magic one.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi residue can be obtained [heaven] Royal Box.",Heaven Royal Box,6
51734,Gossip,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. Where Heaven ordered the whole set Fuxi congenital gossip are available to both heaven magic one.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi residue can be obtained [heaven] Royal Box.",Heaven Royal Box,6
51834,Gossip,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. Where Heaven ordered the whole set Fuxi congenital gossip are available to both heaven magic one.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi residue can be obtained [heaven] Royal Box.",Heaven Royal Box,6
51934,Gossip,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. Where Heaven ordered the whole set Fuxi congenital gossip are available to both heaven magic one.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi residue can be obtained [heaven] Royal Box.",Heaven Royal Box,6
52034,Gossip,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. Where Heaven ordered the whole set Fuxi congenital gossip are available to both heaven magic one.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi residue can be obtained [heaven] Royal Box.",Heaven Royal Box,6
51235,King Wen Qian,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder the wild have a chance to get outside the city of King Wen Qian, break phase diagram will be entitled to a reward of King Wen Wen Wang dry [box].",Qian,6
